-------[ Transition from |project://GuavaRelease14.0| to |project://GuavaRelease15.0| ]-------
    DELETED: |java+method:///com/google/common/collect/LinkedListMultimap/asMap()|
    ADDED: |java+method:///com/google/common/collect/ImmutableMultimap/containsValue(java.lang.Object)|
    ADDED: |java+method:///com/google/common/hash/HashCode/fromString(java.lang.String)|
    ADDED: |java+method:///com/google/common/util/concurrent/ForwardingService/awaitTerminated(long,java.util.concurrent.TimeUnit)|
    ADDED: |java+method:///com/google/common/io/Files/isDirectory()|
    DEPRECATED: |java+method:///com/google/common/hash/HashCodes/fromInt(int)|
    DELETED: |java+method:///com/google/common/primitives/UnsignedLong/add(com.google.common.primitives.UnsignedLong)|
    DEPRECATED: |java+method:///com/google/common/util/concurrent/AbstractIdleService/startAndWait()|
    DEPRECATED: |java+method:///com/google/common/util/concurrent/ForwardingService/stop()|
    ADDED: |java+method:///com/google/common/hash/Funnels/unencodedCharsFunnel()|
    ADDED: |java+method:///com/google/common/io/CharSource/wrap(java.lang.CharSequence)|
    ADDED: |java+method:///com/google/common/io/CharStreams/asCharSink(com.google.common.io.OutputSupplier)|
    ADDED: |java+method:///com/google/common/io/ByteSource/isEmpty()|
    ADDED: |java+method:///com/google/common/collect/Multimaps/filterKeys(com.google.common.collect.SetMultimap,com.google.common.base.Predicate)|
    DEPRECATED: |java+method:///com/google/common/util/concurrent/AbstractScheduledService/stop()|
    ADDED: |java+method:///com/google/common/io/CharSource/empty()|
    DEPRECATED: |java+method:///com/google/common/io/FileBackedOutputStream/getSupplier()|
    ADDED: |java+method:///com/google/common/hash/Funnels/sequentialFunnel(com.google.common.hash.Funnel)|
    DELETED: |java+method:///com/google/common/util/concurrent/AbstractListeningExecutorService/invokeAny(java.util.Collection)|
    ADDED: |java+method:///com/google/common/util/concurrent/ForwardingService/awaitRunning(long,java.util.concurrent.TimeUnit)|
    DEPRECATED: |java+constructor:///com/google/common/base/Stopwatch/Stopwatch()|
    DELETED: |java+method:///com/google/common/collect/ImmutableCollection/containsAll(java.util.Collection)|
    ADDED: |java+method:///com/google/common/collect/Sets/newConcurrentHashSet(java.lang.Iterable)|
    ADDED: |java+method:///com/google/common/collect/Sets/newConcurrentHashSet()|
    ADDED: |java+method:///com/google/common/reflect/MutableTypeToInstanceMap/entrySet()|
    DEPRECATED: |java+method:///com/google/common/util/concurrent/AbstractExecutionThreadService/stopAndWait()|
    ADDED: |java+method:///com/google/common/util/concurrent/AbstractService/awaitTerminated(long,java.util.concurrent.TimeUnit)|
    ADDED: |java+method:///com/google/common/collect/ConcurrentHashMultiset/create(com.google.common.collect.MapMaker)|
    ADDED: |java+method:///com/google/common/io/CharStreams/nullWriter()|
    ADDED: |java+method:///com/google/common/io/Files/isFile()|
    ADDED: |java+method:///com/google/common/base/Stopwatch/createStarted()|
    DELETED: |java+method:///com/google/common/collect/TreeBasedTable/containsColumn(java.lang.Object)|
    DELETED: |java+method:///com/google/common/primitives/UnsignedLong/multiply(com.google.common.primitives.UnsignedLong)|
    ADDED: |java+method:///com/google/common/io/CharSource/concat(java.util.Iterator)|
    ADDED: |java+method:///com/google/common/hash/Funnels/stringFunnel(java.nio.charset.Charset)|
    DEPRECATED: |java+method:///com/google/common/util/concurrent/ForwardingService/startAndWait()|
    ADDED: |java+method:///com/google/common/util/concurrent/AbstractExecutionThreadService/awaitTerminated()|
    ADDED: |java+method:///com/google/common/io/ByteSource/concat(java.lang.Iterable)|
    ADDED: |java+method:///com/google/common/reflect/TypeToken/wrap()|
    DELETED: |java+method:///com/google/common/collect/ArrayTable/create(com.google.common.collect.ArrayTable)|
    DELETED: |java+method:///com/google/common/util/concurrent/AbstractListeningExecutorService/invokeAny(java.util.Collection,long,java.util.concurrent.TimeUnit)|
    DEPRECATED: |java+method:///com/google/common/io/CharStreams/asCharSource(java.lang.String)|
    SIGNATURE CHANGE: |java+method:///com/google/common/collect/ConcurrentHashMultiset/create(com.google.common.collect.GenericMapMaker)| IS NOW: |java+method:///com/google/common/collect/ConcurrentHashMultiset/create(com.google.common.collect.MapMaker)|
    ADDED: |java+method:///com/google/common/io/ByteSource/concat(java.util.Iterator)|
    DELETED: |java+method:///com/google/common/collect/ImmutableCollection/toString()|
    ADDED: |java+method:///com/google/common/reflect/TypeToken/unwrap()|
    ADDED: |java+method:///com/google/common/collect/Multimaps/filterValues(com.google.common.collect.SetMultimap,com.google.common.base.Predicate)|
    ADDED: |java+method:///com/google/common/util/concurrent/AbstractService/awaitTerminated()|
    ADDED: |java+method:///com/google/common/io/CharStreams/asCharSource(com.google.common.io.InputSupplier)|
    DEPRECATED: |java+method:///com/google/common/util/concurrent/AbstractService/stop()|
    DEPRECATED: |java+method:///com/google/common/util/concurrent/AbstractScheduledService/start()|
    DELETED: |java+method:///com/google/common/collect/ArrayTable/toString()|
    DELETED: |java+method:///com/google/common/collect/TreeBasedTable/containsValue(java.lang.Object)|
    DEPRECATED: |java+method:///com/google/common/util/concurrent/AbstractIdleService/start()|
    ADDED: |java+method:///com/google/common/io/CharSource/concat(java.lang.Iterable)|
    DELETED: |java+method:///com/google/common/io/Files/getChecksum(java.io.File,java.util.zip.Checksum)|
    DEPRECATED: |java+method:///com/google/common/util/concurrent/ForwardingService/start()|
    ADDED: |java+method:///com/google/common/util/concurrent/AbstractIdleService/startAsync()|
    DELETED: |java+method:///com/google/common/collect/LinkedListMultimap/hashCode()|
    ADDED: |java+method:///com/google/common/util/concurrent/AbstractIdleService/awaitTerminated(long,java.util.concurrent.TimeUnit)|
    ADDED: |java+method:///com/google/common/io/ByteStreams/asByteSource(com.google.common.io.InputSupplier)|
    DELETED: |java+method:///com/google/common/collect/FluentIterable/toImmutableList()|
    ADDED: |java+method:///com/google/common/util/concurrent/ForwardingService/awaitTerminated()|
    DELETED: |java+method:///com/google/common/primitives/UnsignedLong/asUnsigned(long)|
    DELETED: |java+method:///com/google/common/base/Joiner/MapJoiner/appendTo(java.lang.StringBuilder,I)|
    ADDED: |java+method:///com/google/common/collect/Multimaps/filterKeys(com.google.common.collect.ListMultimap,com.google.common.base.Predicate)|
    ADDED: |java+method:///com/google/common/util/concurrent/AbstractService/awaitRunning()|
    DEPRECATED: |java+method:///com/google/common/util/concurrent/AbstractScheduledService/stopAndWait()|
    DELETED: |java+method:///com/google/common/collect/ArrayTable/equals(java.lang.Object)|
    DELETED: |java+method:///com/google/common/io/ByteStreams/getChecksum(com.google.common.io.InputSupplier,java.util.zip.Checksum)|
    ADDED: |java+method:///com/google/common/util/concurrent/AbstractScheduledService/stopAsync()|
    DELETED: |java+method:///com/google/common/primitives/UnsignedInteger/divide(com.google.common.primitives.UnsignedInteger)|
    DELETED: |java+method:///com/google/common/primitives/UnsignedLong/divide(com.google.common.primitives.UnsignedLong)|
    DELETED: |java+method:///com/google/common/primitives/UnsignedInteger/remainder(com.google.common.primitives.UnsignedInteger)|
    DEPRECATED: |java+method:///com/google/common/util/concurrent/AbstractScheduledService/startAndWait()|
    DEPRECATED: |java+method:///com/google/common/util/concurrent/AbstractService/start()|
    ADDED: |java+method:///com/google/common/hash/Hashing/sipHash24()|
    ADDED: |java+method:///com/google/common/reflect/TypeToken/isPrimitive()|
    DELETED: |java+method:///com/google/common/collect/ImmutableTable/equals(java.lang.Object)|
    ADDED: |java+method:///com/google/common/math/DoubleMath/mean(java.lang.Iterable)|
